GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABR,HOME_TEAM_PTS,VISITOR_TEAM_ID,VISITOR_TEAM_ABR,VISITOR_TEAM_PTS
0022100390,12/10/2021,1610612756,PHX,111,1610612738,BOS,90
0022100391,12/11/2021,1610612746,LAC,106,1610612753,ORL,104
0022100392,12/11/2021,1610612764,WAS,98,1610612762,UTA,123
0022100393,12/11/2021,1610612739,CLE,117,1610612758,SAC,103
0022100394,12/11/2021,1610612748,MIA,118,1610612741,CHI,92
0022100395,12/11/2021,1610612763,MEM,113,1610612745,HOU,106
0022100396,12/11/2021,1610612755,PHI,102,1610612744,GSW,93
0022100397,12/11/2021,1610612759,SAS,112,1610612743,DEN,127
0022100398,12/12/2021,1610612752,NYK,97,1610612749,MIL,112
0022100399,12/12/2021,1610612765,DET,104,1610612751,BKN,116
0022100400,12/12/2021,1610612760,OKC,84,1610612742,DAL,103
0022100401,12/12/2021,1610612759,SAS,112,1610612740,NOP,97
0022100402,12/12/2021,1610612757,POR,111,1610612750,MIN,116
0022100403,12/12/2021,1610612747,LAL,106,1610612753,ORL,94
0022100404,12/13/2021,1610612739,CLE,105,1610612748,MIA,94
0022100405,12/13/2021,1610612754,IND,100,1610612744,GSW,102
